timestamp,event_type,side,price,quantity_change
1767778213939315,orderbook_update,yes,51,10
1767778230950781,orderbook_update,yes,1,100
1767778231112543,orderbook_update,no,1,100
1767778235000000,trade,no,51,-10
1767778235000000,trade,yes,48,-5
1767778235543401,orderbook_update,yes,42,43
1767778235544465,orderbook_update,yes,51,-10
1767778235544465,orderbook_update,no,53,13
1767778235566217,orderbook_update,yes,42,-43
1767778235567128,orderbook_update,no,53,-13
1767778235624226,orderbook_update,yes,43,20
1767778235626313,orderbook_update,no,52,45
1767778235919176,orderbook_update,no,52,-5
1767778236000000,trade,yes,48,-10
1767778236000000,trade,yes,48,-5
1767778236302661,orderbook_update,no,52,-10
1767778236727390,orderbook_update,no,52,-5
1767778237000000,trade,yes,48,-10
1767778237000000,trade,no,43,-1
1767778237554397,orderbook_update,no,52,-10
1767778237844581,orderbook_update,yes,43,-1
1767778238000000,trade,yes,48,-15
1767778238000000,trade,yes,58,-9
1767778238000000,trade,no,48,-10
1767778238113154,orderbook_update,yes,32,5000
1767778238114606,orderbook_update,no,42,5000
1767778238279294,orderbook_update,no,52,-15
1767778238279294,orderbook_update,no,42,-9
1767778238661178,orderbook_update,yes,48,10
1767778238678878,orderbook_update,yes,48,-10
1767778238678878,orderbook_update,no,52,12
1767778238696844,orderbook_update,yes,44,21
1767778238696971,orderbook_update,yes,43,-19
1767778238698269,orderbook_update,no,51,43
1767778238698365,orderbook_update,no,52,-12
1767778238726622,orderbook_update,yes,24,200
1767778238770644,orderbook_update,yes,48,10
1767778238947910,orderbook_update,yes,45,31
1767778238949240,orderbook_update,no,50,32
1767778238951730,orderbook_update,yes,44,-21
1767778238953643,orderbook_update,no,51,-43
1767778239000000,trade,yes,52,-42
1767778239034022,orderbook_update,yes,48,10
1767778239034450,orderbook_update,yes,48,-10
1767778239143399,orderbook_update,no,43,200
1767778239147760,orderbook_update,yes,48,-10
1767778239174931,orderbook_update,yes,46,27
1767778239175482,orderbook_update,yes,45,-31
1767778239176636,orderbook_update,no,49,36
1767778239177034,orderbook_update,no,50,-32
1767778239192940,orderbook_update,yes,46,-27
1767778239195294,orderbook_update,no,49,-36
1767778239213282,orderbook_update,yes,48,23
1767778239215592,orderbook_update,no,47,41
1767778239301936,orderbook_update,yes,48,10
1767778239418166,orderbook_update,yes,48,-10
1767778239572976,orderbook_update,yes,50,10
1767778239712394,orderbook_update,no,48,100
1767778239712760,orderbook_update,yes,33,100
1767778239748380,orderbook_update,no,48,-42
1767778239763288,orderbook_update,no,48,-58
1767778239763288,orderbook_update,no,44,58
1767778239797797,orderbook_update,yes,33,-100
1767778239812555,orderbook_update,no,44,-58
1767778239835471,orderbook_update,yes,50,10
1767778239838152,orderbook_update,yes,50,-10
1767778239940683,orderbook_update,yes,50,-10
1767778239952096,orderbook_update,yes,50,10
1767778240035849,orderbook_update,yes,32,-5000
1767778240037434,orderbook_update,no,42,-4991
1767778240063504,orderbook_update,yes,50,10
1767778240064157,orderbook_update,yes,50,-10
1767778240143159,orderbook_update,yes,25,100
1767778240143289,orderbook_update,no,48,100
1767778240171823,orderbook_update,yes,50,-10
1767778240188093,orderbook_update,no,48,-100
1767778240188093,orderbook_update,no,44,100
1767778240245653,orderbook_update,no,44,-100
1767778240245653,orderbook_update,no,48,100
1767778240286759,orderbook_update,no,48,-100
1767778240286759,orderbook_update,no,49,100
1767778241000000,trade,yes,51,-10
1767778241000000,trade,yes,51,-10
1767778241151800,orderbook_update,yes,25,-100
1767778241151800,orderbook_update,yes,26,100
1767778241210537,orderbook_update,yes,26,-100
1767778241210537,orderbook_update,yes,27,100
1767778241261707,orderbook_update,yes,27,-100
1767778241261707,orderbook_update,yes,28,100
1767778241298402,orderbook_update,no,49,-10
1767778241318448,orderbook_update,no,49,-10
1767778241328678,orderbook_update,no,49,-80
1767778241329662,orderbook_update,yes,28,-100
1767778241539882,orderbook_update,yes,24,-200
1767778241714916,orderbook_update,yes,2,100
1767778241735933,orderbook_update,no,48,100
1767778241741561,orderbook_update,yes,2,-100
1767778241783667,orderbook_update,no,48,-100
1767778242169231,orderbook_update,no,48,100
1767778242171318,orderbook_update,yes,2,100
1767778242196669,orderbook_update,no,48,-100
1767778242196669,orderbook_update,no,44,100
1767778242230590,orderbook_update,no,44,-100
1767778242230590,orderbook_update,no,48,100
1767778242375560,orderbook_update,yes,31,200
1767778242505157,orderbook_update,yes,2,-100
1767778242505157,orderbook_update,yes,32,100
1767778242541738,orderbook_update,yes,32,-100
1767778242541738,orderbook_update,yes,33,100
1767778242582893,orderbook_update,yes,33,-100
1767778242582893,orderbook_update,yes,34,100
1767778242802850,orderbook_update,no,43,-200
1767778243000000,trade,yes,52,-10
1767778243144824,orderbook_update,no,48,-10
1767778243144890,orderbook_update,no,41,200
1767778243404578,orderbook_update,no,48,-90
1767778243406563,orderbook_update,yes,34,-100
1767778243477586,orderbook_update,yes,52,10
1767778243593669,orderbook_update,yes,48,-23
1767778243594782,orderbook_update,no,47,-41
1767778243597635,orderbook_update,yes,49,21
1767778243598455,orderbook_update,no,46,43
1767778243610174,orderbook_update,yes,49,-21
1767778243610908,orderbook_update,no,46,-43
1767778243635490,orderbook_update,yes,52,27
1767778243636442,orderbook_update,no,43,39
1767778243756859,orderbook_update,yes,32,100
1767778243777155,orderbook_update,no,42,100
1767778243808190,orderbook_update,no,42,-100
1767778243808190,orderbook_update,no,43,100
1767778243840484,orderbook_update,no,43,-100
1767778243840484,orderbook_update,no,44,100
1767778243879322,orderbook_update,no,44,-100
1767778243879322,orderbook_update,no,45,100
1767778243914779,orderbook_update,no,45,-100
1767778243914779,orderbook_update,no,46,100
1767778244184169,orderbook_update,no,46,-100
1767778244184169,orderbook_update,no,44,100
1767778244186143,orderbook_update,yes,32,-100
1767778244186143,orderbook_update,yes,33,100
1767778244197887,orderbook_update,yes,52,-10
1767778244244287,orderbook_update,yes,33,-100
1767778244244287,orderbook_update,yes,34,100
1767778244642409,orderbook_update,yes,40,5000
1767778244643752,orderbook_update,no,34,5000
1767778244674958,orderbook_update,yes,54,10
1767778244682560,orderbook_update,yes,34,-100
1767778244682560,orderbook_update,yes,41,100
1767778244722476,orderbook_update,yes,41,-100
1767778244722476,orderbook_update,yes,42,100
1767778244783148,orderbook_update,yes,54,-10
1767778244783217,orderbook_update,yes,42,-100
1767778244783217,orderbook_update,yes,43,100
1767778244817311,orderbook_update,yes,43,-100
1767778244817311,orderbook_update,yes,44,100
1767778244854273,orderbook_update,yes,44,-100
1767778244854273,orderbook_update,yes,45,100
1767778244888447,orderbook_update,yes,45,-100
1767778244888447,orderbook_update,yes,46,100
1767778244937742,orderbook_update,yes,54,10
1767778245000000,trade,yes,56,-10
1767778245052019,orderbook_update,yes,54,10
1767778245088187,orderbook_update,yes,46,-100
1767778245088187,orderbook_update,yes,52,100
1767778245116920,orderbook_update,no,44,-10
1767778245150491,orderbook_update,no,44,-90
1767778245154487,orderbook_update,yes,52,-100
1767778245159818,orderbook_update,yes,54,-10
1767778245202713,orderbook_update,yes,54,-10
1767778245312361,orderbook_update,yes,56,10
1767778245421179,orderbook_update,yes,56,-10
1767778245459233,orderbook_update,no,42,100
1767778245459797,orderbook_update,yes,41,100
1767778245492479,orderbook_update,yes,41,-100
1767778245492479,orderbook_update,yes,42,100
1767778245537061,orderbook_update,no,42,-100
1767778245537061,orderbook_update,no,43,100
1767778245540005,orderbook_update,yes,42,-100
1767778245540005,orderbook_update,yes,43,100
1767778245577000,orderbook_update,yes,56,10
1767778245577767,orderbook_update,yes,43,-100
1767778245577767,orderbook_update,yes,44,100
1767778245617074,orderbook_update,yes,44,-100
1767778245617074,orderbook_update,yes,45,100
1767778245677953,orderbook_update,yes,56,-10
1767778245844254,orderbook_update,yes,56,10
1767778245879981,orderbook_update,yes,45,-100
1767778245879981,orderbook_update,yes,46,100
1767778245952199,orderbook_update,yes,56,10
1767778245953125,orderbook_update,yes,56,-10
1767778246061755,orderbook_update,yes,56,-10
1767778246063893,orderbook_update,yes,56,10
1767778246166557,orderbook_update,yes,56,-10
1767778246204756,orderbook_update,no,43,-100
1767778246204756,orderbook_update,no,44,100
1767778247000000,trade,yes,56,-10
1767778247000000,trade,yes,56,-10
1767778247143966,orderbook_update,no,44,-10
1767778247145148,orderbook_update,no,44,-10
1767778247179917,orderbook_update,no,44,-80
1767778247180927,orderbook_update,yes,46,-100
1767778247558865,orderbook_update,no,42,100
1767778247560365,orderbook_update,yes,41,100
1767778247588348,orderbook_update,no,42,-100
1767778247592476,orderbook_update,yes,41,-100
1767778248000000,trade,yes,57,-10
1767778248312301,orderbook_update,yes,31,-200
1767778248312380,orderbook_update,no,43,-10
1767778248617314,orderbook_update,no,42,100
1767778248618547,orderbook_update,yes,41,100
1767778248650642,orderbook_update,no,42,-100
1767778248650642,orderbook_update,no,43,100
1767778248710401,orderbook_update,no,41,-200
1767778248886496,orderbook_update,yes,48,1
1767778249000000,trade,yes,57,-10
1767778249000000,trade,yes,57,-10
1767778249194645,orderbook_update,no,43,3
1767778249220525,orderbook_update,no,43,-10
1767778249411654,orderbook_update,no,43,-10
1767778250000000,trade,yes,57,-10
1767778250000000,trade,yes,57,-3
1767778250020832,orderbook_update,yes,52,-27
1767778250021768,orderbook_update,no,43,-9
1767778250026657,orderbook_update,yes,53,25
1767778250027878,orderbook_update,no,42,42
1767778250510708,orderbook_update,no,43,-10
1767778250546886,orderbook_update,no,43,-90
1767778250548039,orderbook_update,yes,41,-100
1767778250999606,orderbook_update,no,43,-3
1767778250999606,orderbook_update,yes,57,7
1767778251141419,orderbook_update,yes,41,100
1767778251142560,orderbook_update,no,42,100
1767778251171337,orderbook_update,yes,41,-100
1767778251171337,orderbook_update,yes,42,100
1767778251209515,orderbook_update,yes,42,-100
1767778251209515,orderbook_update,yes,43,100
1767778251267729,orderbook_update,yes,43,-100
1767778251267729,orderbook_update,yes,44,100
1767778251301793,orderbook_update,yes,44,-100
1767778251301793,orderbook_update,yes,45,100
1767778251362814,orderbook_update,yes,45,-100
1767778251362814,orderbook_update,yes,46,100
1767778251578341,orderbook_update,yes,39,200
1767778251604942,orderbook_update,yes,57,-7
1767778251621011,orderbook_update,yes,57,10
1767778251763076,orderbook_update,yes,57,10
1767778251799981,orderbook_update,yes,46,-100
1767778251799981,orderbook_update,yes,51,100
1767778251873680,orderbook_update,yes,57,-10
1767778251877639,orderbook_update,yes,57,10
1767778251926386,orderbook_update,no,35,200
1767778251987575,orderbook_update,yes,57,-10
1767778251999829,orderbook_update,yes,57,10
1767778252157859,orderbook_update,yes,51,-100
1767778252157859,orderbook_update,yes,53,100
1767778252256953,orderbook_update,yes,57,10
1767778252259656,orderbook_update,yes,57,-10
1767778252365788,orderbook_update,yes,57,-10
1767778252433537,orderbook_update,yes,57,10
1767778252505976,orderbook_update,yes,57,-10
1767778252751713,orderbook_update,yes,57,-10
1767778254755704,orderbook_update,yes,55,55
1767778254841025,orderbook_update,yes,53,-100
1767778254841025,orderbook_update,yes,52,100
1767778255000000,trade,yes,58,-5
1767778255134059,orderbook_update,no,42,-5
1767778257000000,trade,yes,58,-1
1767778257113506,orderbook_update,yes,39,-200
1767778257208474,orderbook_update,yes,52,-100
1767778257208474,orderbook_update,yes,54,100
1767778257462591,orderbook_update,no,42,-1
1767778257881137,orderbook_update,yes,55,40
1767778257882161,orderbook_update,yes,53,-25
1767778257882714,orderbook_update,no,40,28
1767778257883040,orderbook_update,no,42,-36
1767778257915007,orderbook_update,no,35,-200
1767778258023070,orderbook_update,yes,40,-5000
1767778258166640,orderbook_update,yes,43,5000
1767778258196430,orderbook_update,yes,55,-40
1767778258197774,orderbook_update,no,40,-28
1767778258319942,orderbook_update,no,34,-5000
1767778258325887,orderbook_update,yes,56,36
1767778258327359,orderbook_update,no,39,33
1767778258463554,orderbook_update,no,31,5000
1767778259000000,trade,yes,58,-10
1767778259072422,orderbook_update,no,42,-10
1767778259125546,orderbook_update,yes,54,-100
1767778259127646,orderbook_update,no,42,-90
1767778259392838,orderbook_update,yes,48,1
1767778259588585,orderbook_update,yes,58,10
1767778259665036,orderbook_update,no,32,100
1767778259685775,orderbook_update,yes,56,100
1767778259925022,orderbook_update,yes,40,200
1767778260025444,orderbook_update,yes,58,10
1767778260060243,orderbook_update,no,32,-100
1767778260060243,orderbook_update,no,33,100
1767778260121098,orderbook_update,no,33,-100
1767778260121098,orderbook_update,no,34,100
1767778260177119,orderbook_update,yes,58,-10
1767778260414753,orderbook_update,yes,58,-10
1767778260809879,orderbook_update,no,32,200
1767778261046147,orderbook_update,yes,56,-36
1767778261047044,orderbook_update,no,39,-33
1767778261048759,orderbook_update,yes,55,36
1767778261050329,orderbook_update,no,40,33
1767778261198548,orderbook_update,yes,56,-100
1767778261198548,orderbook_update,yes,54,100
1767778262171198,orderbook_update,yes,54,-100
1767778262171198,orderbook_update,yes,53,100
1767778262437033,orderbook_update,yes,40,-200
1767778262820999,orderbook_update,yes,39,200
1767778263224626,orderbook_update,yes,53,-100
1767778263224626,orderbook_update,yes,52,100
1767778263240647,orderbook_update,no,40,3
1767778263678882,orderbook_update,no,40,-33
1767778263680855,orderbook_update,no,41,18
1767778263690215,orderbook_update,yes,54,38
1767778263690454,orderbook_update,yes,55,-36
1767778263713339,orderbook_update,yes,54,-38
1767778263713886,orderbook_update,no,42,35
1767778263714753,orderbook_update,no,41,-18
1767778263729489,orderbook_update,yes,53,32
1767778263734803,orderbook_update,no,42,-35
1767778263746045,orderbook_update,yes,53,-32
1767778263748924,orderbook_update,yes,52,45
1767778263750114,orderbook_update,no,43,21
1767778263829910,orderbook_update,yes,52,-45
1767778263830825,orderbook_update,no,43,-21
1767778263832826,orderbook_update,yes,51,43
1767778263834016,orderbook_update,no,44,22
1767778263847090,orderbook_update,no,31,-5000
1767778263986578,orderbook_update,no,34,5000
1767778264000000,trade,yes,56,-10
1767778264000000,trade,yes,56,-10
1767778264127814,orderbook_update,yes,43,-5000
1767778264160260,orderbook_update,yes,52,-100
1767778264160260,orderbook_update,yes,50,100
1767778264269453,orderbook_update,yes,39,5000
1767778264296872,orderbook_update,no,44,-10
1767778264403754,orderbook_update,no,44,-10
1767778264486852,orderbook_update,yes,51,-43
1767778264486924,orderbook_update,yes,52,31
1767778264488015,orderbook_update,no,44,-2
1767778264488066,orderbook_update,no,43,35
1767778265531188,orderbook_update,yes,39,-200
1767778266000000,trade,no,55,-3
1767778266312198,orderbook_update,no,32,-200
1767778266679321,orderbook_update,yes,55,-3
1767778267000000,trade,no,55,-10
1767778267444686,orderbook_update,yes,55,-10
1767778267942104,orderbook_update,yes,48,34
1767778269160135,orderbook_update,no,40,-3
1767778271660789,orderbook_update,yes,52,-31
1767778271660813,orderbook_update,yes,53,25
1767778271662573,orderbook_update,no,42,42
1767778271662595,orderbook_update,no,43,-35
1767778271674110,orderbook_update,yes,53,-25
1767778271676023,orderbook_update,no,42,-42
1767778271686177,orderbook_update,yes,56,29
1767778271687489,orderbook_update,no,39,42
1767778271712695,orderbook_update,yes,57,26
1767778271714138,orderbook_update,no,38,45
1767778271718728,orderbook_update,yes,56,-29
1767778271720041,orderbook_update,no,39,-42
1767778271800001,orderbook_update,yes,39,-5000
1767778271885240,orderbook_update,yes,50,-100
1767778271885240,orderbook_update,yes,51,100
1767778271907246,orderbook_update,no,34,-100
1767778271907246,orderbook_update,no,39,100
1767778271937738,orderbook_update,yes,42,5000
1767778271943106,orderbook_update,no,39,-100
1767778271943106,orderbook_update,no,40,100
1767778272082814,orderbook_update,no,34,-5000
1767778272134905,orderbook_update,yes,51,-100
1767778272134905,orderbook_update,yes,54,100
1767778272229444,orderbook_update,no,31,5000
1767778273000000,trade,no,57,-4
1767778273150368,orderbook_update,yes,54,-100
1767778273150368,orderbook_update,yes,55,100
1767778273344595,orderbook_update,yes,57,-4
1767778273372138,orderbook_update,yes,57,6
1767778275000000,trade,no,57,-6
1767778275296888,orderbook_update,yes,57,-22
1767778275297566,orderbook_update,yes,56,21
1767778275297784,orderbook_update,no,38,-45
1767778275298795,orderbook_update,no,39,50
1767778275320452,orderbook_update,yes,56,-21
1767778275321078,orderbook_update,no,39,-50
1767778275738034,orderbook_update,yes,55,25
1767778275738923,orderbook_update,no,40,44
1767778275746552,orderbook_update,yes,55,-25
1767778275747949,orderbook_update,no,40,-44
1767778275766329,orderbook_update,yes,54,46
1767778275767176,orderbook_update,no,41,22
1767778275793606,orderbook_update,yes,54,-46
1767778275794626,orderbook_update,yes,52,38
1767778275795575,orderbook_update,no,41,-22
1767778275796452,orderbook_update,yes,57,-6
1767778275796452,orderbook_update,no,43,22
1767778275931219,orderbook_update,yes,42,-5000
1767778275932725,orderbook_update,no,31,-5000
1767778276072816,orderbook_update,no,35,5000
1767778276157097,orderbook_update,yes,55,-100
1767778276157097,orderbook_update,yes,53,100
1767778277185698,orderbook_update,yes,53,-100
1767778277185698,orderbook_update,yes,51,100
1767778277839950,orderbook_update,yes,39,5000
1767778278000000,trade,yes,57,-17
1767778278519313,orderbook_update,no,43,-17
1767778278670468,orderbook_update,yes,52,-38
1767778278671234,orderbook_update,yes,53,28
1767778278672177,orderbook_update,no,43,-5
1767778278672261,orderbook_update,no,42,39
1767778280000000,trade,no,55,-35
1767778280230658,orderbook_update,no,10,13
1767778280671974,orderbook_update,yes,52,30
1767778280672936,orderbook_update,no,43,36
1767778280675217,orderbook_update,yes,53,-28
