timestamp,yes_price,no_price
1767778213939315,51.0,
1767778231112543,51.0,1.0
1767778235544465,42.0,1.0
1767778235544465,42.0,53.0
1767778235566217,1.0,53.0
1767778235567128,1.0,1.0
1767778235624226,43.0,1.0
1767778235626313,43.0,52.0
1767778238279294,43.0,42.0
1767778238661178,48.0,42.0
1767778238678878,43.0,42.0
1767778238678878,43.0,52.0
1767778238696844,44.0,52.0
1767778238698365,44.0,51.0
1767778238770644,48.0,51.0
1767778238953643,48.0,50.0
1767778239147760,45.0,50.0
1767778239174931,46.0,50.0
1767778239177034,46.0,49.0
1767778239192940,32.0,49.0
1767778239195294,32.0,43.0
1767778239213282,48.0,43.0
1767778239215592,48.0,47.0
1767778239572976,50.0,47.0
1767778239712394,50.0,48.0
1767778239763288,50.0,47.0
1767778239940683,48.0,47.0
1767778239952096,50.0,47.0
1767778240143289,50.0,48.0
1767778240171823,48.0,48.0
1767778240188093,48.0,47.0
1767778240245653,48.0,48.0
1767778240286759,48.0,47.0
1767778240286759,48.0,49.0
1767778241328678,48.0,47.0
1767778241735933,48.0,48.0
1767778241783667,48.0,47.0
1767778242169231,48.0,48.0
1767778242196669,48.0,47.0
1767778242230590,48.0,48.0
1767778243404578,48.0,47.0
1767778243477586,52.0,47.0
1767778243594782,52.0,41.0
1767778243598455,52.0,46.0
1767778243610908,52.0,41.0
1767778243636442,52.0,43.0
1767778243840484,52.0,44.0
1767778243879322,52.0,43.0
1767778243879322,52.0,45.0
1767778243914779,52.0,43.0
1767778243914779,52.0,46.0
1767778244184169,52.0,43.0
1767778244184169,52.0,44.0
1767778244674958,54.0,44.0
1767778244783148,52.0,44.0
1767778244937742,54.0,44.0
1767778245150491,54.0,43.0
1767778245202713,52.0,43.0
1767778245312361,56.0,43.0
1767778245421179,52.0,43.0
1767778245577000,56.0,43.0
1767778245677953,52.0,43.0
1767778245844254,56.0,43.0
1767778246061755,52.0,43.0
1767778246063893,56.0,43.0
1767778246166557,52.0,43.0
1767778246204756,52.0,44.0
1767778247179917,52.0,43.0
1767778250020832,48.0,43.0
1767778250026657,53.0,43.0
1767778250999606,53.0,42.0
1767778250999606,57.0,42.0
1767778251604942,53.0,42.0
1767778251621011,57.0,42.0
1767778252751713,53.0,42.0
1767778254755704,55.0,42.0
1767778258325887,56.0,42.0
1767778259127646,56.0,39.0
1767778259588585,58.0,39.0
1767778260414753,56.0,39.0
1767778261047044,56.0,34.0
1767778261050329,56.0,40.0
1767778261198548,55.0,40.0
1767778263680855,55.0,41.0
1767778263713886,55.0,42.0
