timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724250843481,83.00,4.2000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724251950096,83.00,4.2000,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724252977073,83.00,4.2000,0.3900,0.4200,0.0300,42.86,4.7200,0.5800,0.6100,0.0300,0.030000,-0.030000
1767724255128216,90.56,4.7400,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724256244574,90.56,4.7400,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724258096276,100.45,5.8900,0.3800,0.4600,0.0800,42.86,4.7200,0.5400,0.6200,0.0800,0.080000,-0.080000
1767724258096520,100.45,5.8900,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724261095984,100.45,5.8900,0.3800,0.4100,0.0300,42.86,4.7200,0.5900,0.6200,0.0300,0.030000,-0.030000
1767724261147224,100.45,5.8900,0.3800,0.4000,0.0200,42.86,4.7200,0.6000,0.6200,0.0200,0.020000,-0.020000
1767724263969412,100.45,5.8900,0.3800,0.3900,0.0100,42.86,4.7200,0.6100,0.6200,0.0100,0.010000,-0.010000
1767724264176923,104.35,5.9900,0.3800,0.4000,0.0200,49.06,4.8200,0.6000,0.6200,0.0200,0.020000,-0.020000
1767724264214558,104.35,5.9900,0.3800,0.3900,0.0100,49.06,4.8200,0.6100,0.6200,0.0100,0.010000,-0.010000
1767724264246507,104.35,5.9900,0.3800,0.4200,0.0400,49.06,4.8200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724264247860,104.35,5.9900,0.3300,0.4200,0.0900,49.06,4.8200,0.5800,0.6700,0.0900,0.090000,-0.090000
1767724264247860,104.35,5.9900,0.3300,0.3800,0.0500,49.06,4.8200,0.6200,0.6700,0.0500,0.050000,-0.050000
