timestamp,yes_bid,no_bid,yes_ask,no_ask
1767731547049517,63.0,34.0,66.0,37.0
1767731547049517,64.0,34.0,66.0,36.0
1767731547749779,65.0,34.0,66.0,35.0
1767731551097590,64.0,34.0,66.0,36.0
1767731552792059,65.0,34.0,66.0,35.0
1767731553755498,63.0,34.0,66.0,37.0
1767731553755498,63.0,35.0,65.0,37.0
1767731553978790,64.0,35.0,65.0,36.0
1767731554091063,63.0,35.0,65.0,37.0
1767731556154434,64.0,35.0,65.0,36.0
1767731558378738,63.0,35.0,65.0,37.0
1767731561137493,64.0,35.0,65.0,36.0
1767731572226671,64.0,34.0,66.0,36.0
1767731572296579,64.0,30.0,70.0,36.0
1767731572349160,64.0,33.0,67.0,36.0
1767731572353128,63.0,33.0,67.0,37.0
1767731572353128,65.0,33.0,67.0,35.0
1767731573278653,65.0,34.0,66.0,35.0
1767731573279614,64.0,34.0,66.0,36.0
1767731573329410,64.0,33.0,67.0,36.0
1767731573371218,65.0,33.0,67.0,35.0
1767731583151694,66.0,33.0,67.0,34.0
1767731583700814,66.0,32.0,68.0,34.0
1767731583850997,66.0,31.0,69.0,34.0
1767731583894091,67.0,31.0,69.0,33.0
1767731583979647,64.0,31.0,69.0,36.0
1767731583979847,64.0,30.0,70.0,36.0
1767731584027335,66.0,30.0,70.0,34.0
1767731584120951,67.0,30.0,70.0,33.0
1767731585116782,68.0,30.0,70.0,32.0
1767731586349281,69.0,30.0,70.0,31.0
1767731586401744,69.0,29.0,71.0,31.0
1767731586479033,69.0,28.0,72.0,31.0
1767731586573742,70.0,28.0,72.0,30.0
1767731586887534,71.0,28.0,72.0,29.0
1767731588351779,71.0,27.0,73.0,29.0
1767731588448764,72.0,27.0,73.0,28.0
1767731590874666,72.0,26.0,74.0,28.0
1767731591885985,72.0,27.0,73.0,28.0
1767731592326535,70.0,27.0,73.0,30.0
1767731592326535,71.0,27.0,73.0,29.0
1767731592481798,71.0,28.0,72.0,29.0
1767731592595421,71.0,27.0,73.0,29.0
1767731594037534,72.0,27.0,73.0,28.0
1767731596152164,70.0,27.0,73.0,30.0
1767731596152164,71.0,27.0,73.0,29.0
1767731596247691,71.0,28.0,72.0,29.0
1767731596767872,71.0,27.0,73.0,29.0
1767731597201532,72.0,27.0,73.0,28.0
1767731597520335,72.0,25.0,75.0,28.0
1767731597618250,73.0,25.0,75.0,27.0
1767731597734956,73.0,24.0,76.0,27.0
1767731597807344,74.0,24.0,76.0,26.0
1767731597946588,75.0,24.0,76.0,25.0
1767731598000000,75.0,22.0,78.0,25.0
1767731598049967,76.0,22.0,78.0,24.0
1767731599029403,77.0,22.0,78.0,23.0
1767731600789460,73.0,22.0,78.0,27.0
1767731600789460,76.0,22.0,78.0,24.0
1767731601021190,76.0,23.0,77.0,24.0
1767731601452651,73.0,23.0,77.0,27.0
1767731601452651,74.0,23.0,77.0,26.0
1767731601483546,74.0,25.0,75.0,26.0
1767731604206213,73.0,25.0,75.0,27.0
1767731604206213,73.0,26.0,74.0,27.0
1767731604246548,70.0,26.0,74.0,30.0
1767731604260200,67.0,26.0,74.0,33.0
1767731604260200,68.0,26.0,74.0,32.0
1767731604294256,69.0,26.0,74.0,31.0
1767731604319520,69.0,27.0,73.0,31.0
1767731604368847,67.0,27.0,73.0,33.0
1767731604374348,67.0,26.0,74.0,33.0
1767731604374348,67.0,28.0,72.0,33.0
1767731604408587,68.0,28.0,72.0,32.0
1767731604448913,68.0,29.0,71.0,32.0
1767731604604903,68.0,30.0,70.0,32.0
1767731604669349,68.0,29.0,71.0,32.0
1767731604939128,68.0,26.0,74.0,32.0
1767731604983826,68.0,25.0,75.0,32.0
1767731605095208,68.0,26.0,74.0,32.0
1767731605245476,65.0,26.0,74.0,35.0
1767731605287140,66.0,26.0,74.0,34.0
1767731605576308,67.0,26.0,74.0,33.0
1767731605578832,67.0,27.0,73.0,33.0
1767731605635612,67.0,25.0,75.0,33.0
1767731605635612,67.0,28.0,72.0,33.0
1767731605686128,68.0,28.0,72.0,32.0
1767731605831426,68.0,29.0,71.0,32.0
1767731606715494,69.0,29.0,71.0,31.0
1767731606813459,70.0,29.0,71.0,30.0
1767731608190801,70.0,27.0,73.0,30.0
1767731608236987,70.0,26.0,74.0,30.0
1767731608809989,70.0,27.0,73.0,30.0
1767731608864419,70.0,26.0,74.0,30.0
1767731608864419,70.0,28.0,72.0,30.0
1767731609579760,71.0,28.0,72.0,29.0
1767731610093334,71.0,25.0,75.0,29.0
1767731610196769,71.0,26.0,74.0,29.0
1767731610442710,71.0,27.0,73.0,29.0
1767731610504046,71.0,25.0,75.0,29.0
1767731610504046,71.0,28.0,72.0,29.0
1767731610537413,67.0,28.0,72.0,33.0
1767731610537413,68.0,28.0,72.0,32.0
1767731610540233,69.0,28.0,72.0,31.0
1767731610638053,69.0,29.0,71.0,31.0
1767731611688372,70.0,29.0,71.0,30.0
1767731612269591,70.0,28.0,72.0,30.0
1767731612314159,70.0,29.0,71.0,30.0
1767731613504739,69.0,29.0,71.0,31.0
1767731616222452,69.0,30.0,70.0,31.0
1767731617055686,67.0,30.0,70.0,33.0
1767731617055686,68.0,30.0,70.0,32.0
1767731617151603,68.0,31.0,69.0,32.0
1767731617907267,67.0,31.0,69.0,33.0
1767731617968321,67.0,32.0,68.0,33.0
1767731621856672,65.0,32.0,68.0,35.0
1767731621856672,65.0,33.0,67.0,35.0
1767731621868947,65.0,32.0,68.0,35.0
1767731621875548,65.0,34.0,66.0,35.0
1767731621939649,61.0,34.0,66.0,39.0
1767731622002950,61.0,35.0,65.0,39.0
1767731622067217,61.0,36.0,64.0,39.0
1767731622159947,59.0,36.0,64.0,41.0
1767731622161132,60.0,36.0,64.0,40.0
1767731622185016,60.0,35.0,65.0,40.0
1767731622185016,60.0,37.0,63.0,40.0
1767731622194399,59.0,37.0,63.0,41.0
1767731622244213,59.0,38.0,62.0,41.0
1767731622331667,59.0,36.0,64.0,41.0
1767731622331667,59.0,39.0,61.0,41.0
1767731622405226,59.0,40.0,60.0,41.0
1767731622560552,58.0,40.0,60.0,42.0
1767731622560552,58.0,41.0,59.0,42.0
1767731622569773,57.0,41.0,59.0,43.0
1767731622633967,57.0,42.0,58.0,43.0
1767731622693700,57.0,41.0,59.0,43.0
1767731622733611,57.0,42.0,58.0,43.0
1767731622784035,57.0,38.0,62.0,43.0
1767731622832458,57.0,40.0,60.0,43.0
1767731623271725,57.0,41.0,59.0,43.0
1767731623324258,57.0,40.0,60.0,43.0
1767731623324258,57.0,42.0,58.0,43.0
1767731623727154,54.0,42.0,58.0,46.0
1767731623727232,55.0,42.0,58.0,45.0
1767731623802902,55.0,43.0,57.0,45.0
1767731623953444,55.0,44.0,56.0,45.0
1767731630268735,55.0,41.0,59.0,45.0
1767731630314864,55.0,42.0,58.0,45.0
1767731632203497,55.0,43.0,57.0,45.0
1767731632303912,55.0,44.0,56.0,45.0
1767731636149951,55.0,43.0,57.0,45.0
1767731637388004,55.0,42.0,58.0,45.0
1767731638222781,55.0,43.0,57.0,45.0
1767731638380029,55.0,44.0,56.0,45.0
1767731639143020,55.0,43.0,57.0,45.0
1767731640399176,55.0,42.0,58.0,45.0
1767731640414325,56.0,42.0,58.0,44.0
1767731640489608,56.0,41.0,59.0,44.0
1767731641006329,56.0,42.0,58.0,44.0
1767731643319964,56.0,41.0,59.0,44.0
1767731643370812,57.0,41.0,59.0,43.0
1767731643462256,57.0,40.0,60.0,43.0
1767731643997271,56.0,40.0,60.0,44.0
1767731643997271,58.0,40.0,60.0,42.0
1767731644112786,58.0,39.0,61.0,42.0
1767731644127686,55.0,39.0,61.0,45.0
1767731644127686,59.0,39.0,61.0,41.0
1767731644135181,60.0,39.0,61.0,40.0
1767731644155414,60.0,35.0,65.0,40.0
1767731644194883,60.0,36.0,64.0,40.0
1767731645028249,60.0,37.0,63.0,40.0
1767731645100245,60.0,36.0,64.0,40.0
1767731645592760,61.0,36.0,64.0,39.0
1767731647297706,61.0,35.0,65.0,39.0
1767731647346796,62.0,35.0,65.0,38.0
1767731647620260,61.0,35.0,65.0,39.0
1767731647722564,61.0,36.0,64.0,39.0
1767731649731751,62.0,36.0,64.0,38.0
1767731650674906,63.0,36.0,64.0,37.0
1767731650726895,63.0,35.0,65.0,37.0
1767731650774128,63.0,33.0,67.0,37.0
1767731650824796,63.0,34.0,66.0,37.0
1767731651131502,63.0,35.0,65.0,37.0
1767731651941642,64.0,35.0,65.0,36.0
1767731654563940,63.0,35.0,65.0,37.0
1767731654627938,63.0,36.0,64.0,37.0
1767731662009610,63.0,35.0,65.0,37.0
1767731662152286,64.0,35.0,65.0,36.0
1767731662202982,64.0,34.0,66.0,36.0
1767731662204117,64.0,32.0,68.0,36.0
1767731662255775,64.0,33.0,67.0,36.0
1767731662945710,65.0,33.0,67.0,35.0
1767731672670036,65.0,32.0,68.0,35.0
1767731672723834,66.0,32.0,68.0,34.0
1767731673693432,65.0,32.0,68.0,35.0
1767731673746704,65.0,33.0,67.0,35.0
1767731674259031,65.0,34.0,66.0,35.0
1767731679931044,64.0,34.0,66.0,36.0
1767731680047973,64.0,35.0,65.0,36.0
1767731684767371,61.0,35.0,65.0,39.0
1767731684767371,61.0,36.0,64.0,39.0
1767731684884614,61.0,37.0,63.0,39.0
1767731684937392,61.0,36.0,64.0,39.0
1767731684937392,61.0,38.0,62.0,39.0
1767731685433973,59.0,38.0,62.0,41.0
1767731685433973,60.0,38.0,62.0,40.0
1767731685534602,60.0,39.0,61.0,40.0
1767731686235305,58.0,39.0,61.0,42.0
1767731700427938,58.0,38.0,62.0,42.0
1767731700474550,58.0,37.0,63.0,42.0
1767731700499423,59.0,37.0,63.0,41.0
1767731700560064,59.0,36.0,64.0,41.0
1767731700620548,58.0,36.0,64.0,42.0
1767731700641635,60.0,36.0,64.0,40.0
1767731700721797,61.0,36.0,64.0,39.0
1767731700842164,62.0,36.0,64.0,38.0
1767731700848598,62.0,35.0,65.0,38.0
1767731700880350,62.0,34.0,66.0,38.0
1767731700893491,61.0,34.0,66.0,39.0
1767731700893491,63.0,34.0,66.0,37.0
1767731700956928,64.0,34.0,66.0,36.0
1767731701096601,63.0,34.0,66.0,37.0
1767731701150925,64.0,34.0,66.0,36.0
1767731701331735,65.0,34.0,66.0,35.0
1767731702000000,65.0,31.0,69.0,35.0
1767731702196965,67.0,31.0,69.0,33.0
1767731702214567,67.0,30.0,70.0,33.0
1767731702219623,66.0,30.0,70.0,34.0
1767731702256491,66.0,29.0,71.0,34.0
1767731702273053,67.0,29.0,71.0,33.0
1767731702297489,67.0,30.0,70.0,33.0
1767731702330820,68.0,30.0,70.0,32.0
1767731705812877,68.0,29.0,71.0,32.0
1767731705866370,69.0,29.0,71.0,31.0
1767731706546475,70.0,29.0,71.0,30.0
1767731723117923,71.0,29.0,71.0,29.0
1767731723117923,71.0,28.0,72.0,29.0
1767731723184683,71.0,25.0,75.0,29.0
1767731723184683,71.0,26.0,74.0,29.0
1767731723286238,72.0,26.0,74.0,28.0
1767731723291268,72.0,25.0,75.0,28.0
1767731723291340,72.0,24.0,76.0,28.0
1767731723350644,73.0,24.0,76.0,27.0
1767731723411789,72.0,24.0,76.0,28.0
1767731723411789,74.0,24.0,76.0,26.0
1767731723603588,74.0,23.0,77.0,26.0
1767731723663191,75.0,23.0,77.0,25.0
1767731723792065,76.0,23.0,77.0,24.0
1767731724164194,76.0,22.0,78.0,24.0
1767731724341279,75.0,22.0,78.0,25.0
1767731724366914,75.0,23.0,77.0,25.0
1767731724675518,75.0,24.0,76.0,25.0
1767731727236803,75.0,23.0,77.0,25.0
1767731727851289,75.0,22.0,78.0,25.0
1767731727898238,76.0,22.0,78.0,24.0
1767731728150226,77.0,22.0,78.0,23.0
1767731730543499,76.0,22.0,78.0,24.0
1767731730591991,74.0,22.0,78.0,26.0
1767731730642638,75.0,22.0,78.0,25.0
1767731732421349,76.0,22.0,78.0,24.0
1767731733774539,77.0,22.0,78.0,23.0
1767731734304022,76.0,22.0,78.0,24.0
1767731734363544,74.0,22.0,78.0,26.0
1767731734463673,75.0,22.0,78.0,25.0
1767731736390856,76.0,22.0,78.0,24.0
1767731736973501,77.0,22.0,78.0,23.0
1767731738544907,75.0,22.0,78.0,25.0
1767731738678536,75.0,23.0,77.0,25.0
