timestamp,yes_bid,no_bid,yes_ask,no_ask
1767731895641334,84.0,10.0,90.0,16.0
1767731895661511,88.0,10.0,90.0,12.0
1767731898497257,89.0,10.0,90.0,11.0
1767731909031988,89.0,9.0,91.0,11.0
1767731909032363,90.0,9.0,91.0,10.0
1767731912000000,90.0,8.0,92.0,10.0
1767731912521646,90.0,7.0,93.0,10.0
1767731912550365,91.0,7.0,93.0,9.0
1767731913664887,92.0,7.0,93.0,8.0
1767731921587724,90.0,7.0,93.0,10.0
1767731921587724,91.0,7.0,93.0,9.0
1767731922814890,92.0,7.0,93.0,8.0
1767731923758250,92.0,6.0,94.0,8.0
1767731931650810,92.0,7.0,93.0,8.0
1767731934400172,92.0,6.0,94.0,8.0
1767731944456034,93.0,6.0,94.0,7.0
1767731946653575,92.0,6.0,94.0,8.0
1767731946805105,92.0,7.0,93.0,8.0
1767731947463194,92.0,6.0,94.0,8.0
1767731947885700,92.0,7.0,93.0,8.0
1767731947898321,92.0,6.0,94.0,8.0
1767731947946747,92.0,7.0,93.0,8.0
1767731951326130,89.0,7.0,93.0,11.0
1767731951326130,89.0,8.0,92.0,11.0
1767731951385969,89.0,9.0,91.0,11.0
1767731951433910,90.0,9.0,91.0,10.0
1767731951578879,89.0,9.0,91.0,11.0
1767731954101252,90.0,9.0,91.0,10.0
1767731957591024,88.0,9.0,91.0,12.0
1767731957591024,89.0,9.0,91.0,11.0
1767731957684845,89.0,10.0,90.0,11.0
1767731961057197,89.0,9.0,91.0,11.0
1767731961111376,89.0,10.0,90.0,11.0
1767731968550295,89.0,9.0,91.0,11.0
1767731969030240,89.0,10.0,90.0,11.0
1767731969954660,89.0,9.0,91.0,11.0
1767731970724434,90.0,9.0,91.0,10.0
1767731979516632,88.0,9.0,91.0,12.0
1767731979516632,89.0,9.0,91.0,11.0
1767731979829693,88.0,9.0,91.0,12.0
1767731981237211,88.0,10.0,90.0,12.0
1767731981370913,88.0,9.0,91.0,12.0
1767731981744844,89.0,9.0,91.0,11.0
1767731982705869,90.0,9.0,91.0,10.0
1767731983599882,90.0,8.0,92.0,10.0
1767731983920733,91.0,8.0,92.0,9.0
1767731983994739,90.0,8.0,92.0,10.0
1767731984073751,91.0,8.0,92.0,9.0
1767731986799475,91.0,7.0,93.0,9.0
1767731987367172,92.0,7.0,93.0,8.0
1767731994233297,91.0,7.0,93.0,9.0
1767731994331826,91.0,8.0,92.0,9.0
1767731994387953,91.0,7.0,93.0,9.0
1767731994542594,91.0,8.0,92.0,9.0
1767731995283736,91.0,7.0,93.0,9.0
1767731996314780,92.0,7.0,93.0,8.0
1767732000348562,92.0,6.0,94.0,8.0
1767732000813255,93.0,6.0,94.0,7.0
1767732000924234,93.0,5.0,95.0,7.0
1767732000948744,94.0,5.0,95.0,6.0
1767732010706839,94.0,4.0,96.0,6.0
1767732011434660,95.0,4.0,96.0,5.0
1767732014108418,94.0,4.0,96.0,6.0
1767732014162532,93.0,4.0,96.0,7.0
1767732014195910,94.0,4.0,96.0,6.0
1767732014266813,94.0,5.0,95.0,6.0
1767732015528011,94.0,4.0,96.0,6.0
1767732015646610,95.0,4.0,96.0,5.0
1767732018171803,94.0,4.0,96.0,6.0
1767732019069285,95.0,4.0,96.0,5.0
1767732028743141,95.0,3.0,97.0,5.0
1767732028798309,95.0,4.0,96.0,5.0
1767732029022740,95.0,3.0,97.0,5.0
1767732040208153,96.0,3.0,97.0,4.0
1767732045512715,95.0,3.0,97.0,5.0
1767732046796678,96.0,3.0,97.0,4.0
1767732081135527,96.0,2.0,98.0,4.0
1767732081363106,97.0,2.0,98.0,3.0
1767732094874358,97.0,1.0,99.0,3.0
1767732109277494,98.0,1.0,99.0,2.0
1767732111224955,98.0,,,2.0
1767732121799109,98.0,1.0,99.0,2.0
1767732123194199,97.0,1.0,99.0,3.0
1767732123492461,98.0,1.0,99.0,2.0
1767732134473073,96.0,1.0,99.0,4.0
1767732134473073,96.0,2.0,98.0,4.0
1767732134494107,96.0,1.0,99.0,4.0
1767732134628598,96.0,2.0,98.0,4.0
1767732138438261,97.0,2.0,98.0,3.0
1767732149777238,95.0,2.0,98.0,5.0
1767732149883418,88.0,2.0,98.0,12.0
1767732149916708,97.0,2.0,98.0,3.0
1767732154153957,97.0,1.0,99.0,3.0
1767732154206581,97.0,2.0,98.0,3.0
1767732160551929,97.0,1.0,99.0,3.0
1767732160608361,98.0,1.0,99.0,2.0
1767732165117559,98.0,,,2.0
1767732180700924,99.0,,,1.0
1767732339141771,,,,
